mbti,song,singer
ENFJ,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA
ENFJ,You’re Losing Me (From The Vault),Taylor Swift
ENFJ,All of Me,John Legend
ENFJ,魔动闪霸：对手,魔动闪霸
ENFJ,断线,"Shang, lil sophy"
ENFJ,NO 808,"Lil Ghost小鬼, NYK"
ENFJ,无人区玫瑰,"Capper, APEX, LEGGO"
ENFJ,Lover - First Dance Remix,Taylor Swift
ENFJ,Hello Hello,Elton John
ENFJ,A Place in this World,Taylor Swift
ENFJ,Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey"
ENFJ,Statues in the Garden (Arras),Local Natives
ENFJ,Time,"Free Nationals, Mac Miller, Kali Uchis"
ENFJ,Live Well,Palace
ENFJ,Hangover Blues,Amythyst Kiah
ENFJ,Die For You,The Weeknd
ENFJ,Ordinary Superstar,Rina Sawayama
ENFJ,Electra Heart,MARINA
ENFJ,Bubblegum Bitch,MARINA
ENFJ,The Sound,The 1975
ENFJ,Running Up That Hill,MEG MYERS
ENFJ,No Diggity,"Blackstreet, Dr. Dre, Queen Pen"
ENFJ,Slipping Through My Fingers,ABBA
ENFJ,I Want You To Love Me,Fiona Apple
ENFJ,愛して 愛して 愛して,Kikuo
ENFJ,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
ENFJ,Shy Away,Twenty One Pilots
ENFJ,Tutu,"Camilo, Pedro Capó"
ENFJ,Margaret (feat. Bleachers),"Lana Del Rey, Bleachers"
ENFJ,Fearless (Taylor’s Version),Taylor Swift
ENFJ,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift
ENFJ,Pictures of Girls,Wallows
ENFJ,Televised,HUNNY
ENFJ,Mr. Brightside,The Killers
ENFJ,Talk Too Much,COIN
ENFJ,Young at Heart,Cyrille Aimee
ENFJ,Boyfriend,Dove Cameron
ENFJ,Big Empty,Stone Temple Pilots
ENFJ,Love Me 4 Me,Rina Sawayama
ENFJ,Cough Syrup,Young the Giant
ENFJ,Hey Lover!,Wabie
ENFJ,Ballroom Extravaganza,DPR IAN
ENFJ,There She Goes,The La's
ENFJ,Blow,Kesha
ENFJ,Bring Me To Life,Evanescence
ENFJ,What Kind Of Man,Florence + The Machine
ENFJ,Monster (Under My Bed),Call Me Karizma
ISTJ,Motion Sickness,Phoebe Bridgers
ISTJ,Bags,Clairo
ISTJ,Cherry Waves,Deftones
ISTJ,As the World Caves In,Matt Maltese
ISTJ,Pretzel (♡),NCT DREAM
ISTJ,Cake,Melanie Martinez
ISTJ,Eat Your Young,Hozier
ISTJ,Sex with a Ghost,Teddy Hyde
ISTJ,Everybody Loves Me,OneRepublic
ISTJ,When I Pray,DOE
ISTJ,Pano,Zack Tabudlo
ISTJ,고맙다,세븐틴
ISTJ,Butterfly,P1Harmony
ISTJ,God's Plan,Drake
ISTJ,Solo,Future
ISTJ,Man On The Moon,Kid Cudi
ISTJ,I Wonder,Kanye West
ISTJ,About You,The 1975
ISTJ,Before The Day Is Over,Joji
ISTJ,Two Ghosts,Harry Styles
ISTJ,Let's All Love Lain,TOKYOPILL
ISTJ,Old Money,Lana Del Rey
ISTJ,Still Sane,Lorde
ISTJ,Of The Night,Bastille
ISTJ,coming of age,mxmtoon
ISTJ,The Archer,Taylor Swift
ISTJ,this is me trying,Taylor Swift
ISTJ,Viva La Vida,Coldplay
ISTJ,RHYTHM TA,iKON
ISTJ,Savage,aespa
ISTJ,Get A Guitar,RIIZE
ISTJ,Ridin',NCT DREAM
ISTJ,Beautiful Stranger,Laufey
ISTJ,Empire Ants (feat. Little Dragon),"Gorillaz, Little Dragon"
ISTJ,Je te laisserai des mots,Patrick Watson
ISTJ,Sleeping Powder,Gorillaz
ISTJ,Double Knot,Stray Kids
ISTJ,Horizon,ATEEZ
ISTJ,HIT,세븐틴
ISTJ,UGH!,방탄소년단
ISTJ,Not You,"Alan Walker, Emma Steinbakken"
ISTJ,Better Things,aespa
ISTJ,Last Nite,The Strokes
ISTJ,Gone,TWICE
ISTJ,One In A Milion,TWICE
ISTJ,ONLY,이하이
ISTJ,Shine With Me,IVE
ISTJ,My Name Is,Eminem
ISTJ,The Bomb,Pigeon John
ISTJ,DANG! (hocus pocus),Billlie
ISTJ,NOBODY,"전소연, 윈터, LIZ (IVE)"
ISTJ,Runaway Baby,Bruno Marz
ISTJ,IDOL,방탄소년단
ISTJ,I CAN'T STOP ME,TWICE
ISTJ,Future Perfect (Pass the MIC),ENHYPEN
ISTJ,From Home,NCT U
ISTJ,Where Is Dream,10cm
ISTJ,ILYSB,LANY
ISTJ,Malibu Nights,LANY
ISTJ,Lose,NIKI
ISTJ,YACHT (k) (Feat. Sik-K),"박재범, 식케이"
ISTJ,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold"
ISTJ,Infrunami,Steve Lacy
ISTJ,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey
ISTJ,Borderline,Tame Impala
ISTJ,Lights Are On,Tom Rosenthal
ISTJ,"Paint It, Black - Mono",The Rolling Stones
ISTJ,Blood // Water,grandson
ISTJ,Adios,"Hoody, GRAY"
ISTJ,Sour Grapes,LE SSERAFIM
ISTJ,Into the I-LAND,I-LAND
ISTJ,TFW (That Feeling When),ENHYPEN
ISTJ,Believe,"Paul Blanco, Crush"
ISTJ,More Than Friends,Mokita
ISTJ,So Close,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku"
ISTJ,Do It,Tuxedo
ISTJ,으르렁 (Growl),EXO
ISTJ,Turn Back Time,WayV
ISTJ,EVERYTHING,검정치마
ISTJ,happier,Olivia Rodrigo
ISTJ,Space Song,Beach House
ISTJ,Notion,The Rare Occasions
ISTJ,My Kind of Woman,Mac DeMarco
ISTJ,Die For You,Joji
ISTJ,Talk Saxy,RIIZE
ISTJ,Kick Back - Korean Version,WayV
ISTJ,秘境 (Kick Back),WayV
ISTJ,Lean on ME,Bill Withers
ISTJ,I Love You So,The Walters
ISTJ,Control,Halsey
ISTJ,Kingdom,HOPE
ISTJ,Black,Kari Kimmel
ISTJ,Love Lee,AKMU
ISTJ,Why So Lonely,원더걸스
ISTJ,LALALALA,Stray Kids
ISTJ,어쩌다 보니,DAY6
ISTJ,2 soon,keshi
ISTJ,24 Hours,Anthony Russo
ISTJ,BOKE,CIKI
ISTJ,主 动,加木
ENTJ,Floor Seats,A$AP Ferg
ENTJ,The Origianl,On The Larceny
ENTJ,After Dark,Mr.Kitty
ENTJ,Uprising,Muse
ENTJ,Don’t Blame Me,Taylor Swift
ENTJ,Okay,Chase Atlantic
ENTJ,CRIME,NORTMIRAGE
ENTJ,Diet Mountain Dew,Lana Del Rey
ENTJ,The Way I Am,Eminem
ENTJ,HUMBLE.,Kendrick Lamar
ENTJ,Applause,Lady Gaga
ENTJ,Doubt,Twenty One Pilots
ENTJ,XO,Beyoncé
ENTJ,Toosie Slide,Drake
ENTJ,brutal,Olivia Rodrigo
ENTJ,Run the World (Girls),Beyoncé
ENTJ,Under Giant Trees,Agnes Obel
ENTJ,Once Upon a December (from Anastasia),Emile Pandolfi
ENTJ,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma"
ENTJ,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani"
ENTJ,You Get Me So High,The Neighbourhood
ENTJ,I Was Never There,"The Weeknd, Gesaffelstein"
ENTJ,Ain't Shit,Doja Cat
ENTJ,Outro,M83
ENTJ,Heartbeat,Childish Gambino
ENTJ,Reflections,The Neighbourhood
ENTJ,Leaving Tonight,The Neighbourhood
ENTJ,Bang Bang Bang Bang,Sohodolls
ENTJ,Womanizer,Britney Spears
ENTJ,Better Than Revenge,Taylor Swift
ENTJ,Washing Machine Heart,Mitski
ENTJ,successful,Ariana Grande
ENTJ,Tak ... Tak ... To Ja,Obywatel G.C.
ENTJ,Sway,Michael Bublé
ENTJ,Cold Cold Cold,Cage The Elephant
ENTJ,Lotta True Crime,Penelope Scott
ENTJ,The Way I Are,"Timbaland, Keri Hilson, D.O.E."
ENTJ,Party Monster,The Weeknd
ENTJ,Karma,Taylor Swift
ENTJ,Wanted Dead Or Alive,Bon Jovi
ENTJ,girls like u,blackbear
ENTJ,Feel Good,Weathers
ENTJ,Confident,"Justin Bieber, Chance the Rapper"
ENTJ,Don’t Play,Halsey
ENTJ,Under The Influence,Chris Brown
ENTJ,HAUNTED,Isabel LaRosa
ENTJ,Primadonna,MARINA
ENTJ,I'm Gonna Show You Crazy,Bebe Rexha
ENTJ,Yikes,Nicki Minaj
ENTJ,Lay All Your Love On Me,ABBA
ENTJ,Bloody Mary,Lady Gaga
ENTJ,Bezos I,Bo Burnham
ENTJ,My Name Is Human,Highly Suspect
ENTJ,Watch,Belaganas
ENTJ,3 Nights,Dominic Fike
ENTJ,Castle,Halsey
ENTJ,HEATED,Beyoncé
ENTJ,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug"
ENTJ,Nowhere to run - Slowed,NikiBeats
ENTJ,Blood On The Leaves,Kanye West
ENTJ,BOSS,"NCT, NCT U"
ENTJ,COPYCAT,Billie Eilish
ENTJ,aenergy,aespa
ENTJ,Killer Queen,Queen
ENTJ,Centuries,Fall Out Boy
ENTJ,Mount Everest,Labrinth
ENTJ,Love Me,"Lil Wayne, Drake, Future"
ENTJ,Luxury,Azealia Banks
ENTJ,ANTIFRAGILE,LE SSERAFIM
ENTJ,Bite Me,ENHYPEN
ENTJ,LOVE DIVE,IVE
ENTJ,Allergy,(여자)아이들
ENTJ,Mad Hatter,Melanie Martinez
ENTJ,Ashes,Stellar
ENTJ,Arabella,Arctic Monkeys
ENTJ,The Lighthouse,Halsey
ENTJ,STARSTRUKK (feat. Katy Perry),"3OH!3, Katy Perry, Matt Squire"
ENTJ,I Knew You Were Trouble (Taylor's Version),Taylor Swift
ENTJ,Problems,Mother Mother
ENTJ,Doin' Time,Lana Del Rey
ENTJ,Come Together - Remastered 2009,The Beatles
ENTJ,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj"
ENTJ,My Type,Saweetie
ENTJ,Follow God,Kanye West
ENTJ,Play with Fire (feat. Yacht Money),"Sam Tinnesz, Yacht Money"
ENTJ,Boss Bitch,Doja Cat
ENTJ,Hayloft II,Mother Mother
ENTJ,Little Dark Age,MGMT
ENTJ,Hair,Little Mix
ENTJ,Born This Way,Lady Gaga
ENTJ,Icy Chain,Saweetie
ENTJ,IPHONE,Rico Nasty
ENTJ,Be Alright,Dean Lewis
ENTJ,Fucking Diablo,Nicki Nicole
ENTJ,My All,Mariah Carey
ENTJ,SINCERA TE,Milo j
ENTJ,What's My Name,"China Anne McClain, Thomas Doherty, Dylan Playfair, Disney"
ENTJ,Fighter,Christina Aguilera
ENTJ,That's My Girl,Fifth Harmony
ENTJ,Dark Horse,"Katy Perry, Juicy J"
INFP,Midnight City,M83
INFP,Cherry Waves,Deftones
INFP,Hentai,Cigarettes After Sex
INFP,Fireside,Arctic Monkeys
INFP,Body Back (feat. Maia Wright),"Gryffin, Maia Wright"
INFP,ミカヅキ,Sayuri
INFP,今日くらいは - Cover,mami
INFP,フロントメモリー,"Emiko Suzuki, Seiji Kameda"
INFP,UP NO MORE,TWICE
INFP,In My Dreams,Red Velvet
INFP,나의 모든 순간 (No Longer),NCT 127
INFP,아이와 나의 바다,아이유
INFP,Back To December (Taylor's Version),Taylor Swift
INFP,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver"
INFP,exile (feat. Bon Iver),"Taylor Swift, Bon Iver"
INFP,I Almost Do (Taylor's Version),Taylor Swift
INFP,good 4 u,Olivia Rodrigo
INFP,Boulevard of Broken Dreams,Green Day
INFP,Crisis,keeoh
INFP,Bad Apple!! feat.nomico,nomico
INFP,Kiss Me,Sixpence None The Richer
INFP,Let It Be - Remastered 2009,The Beatles
INFP,I Hear a Symphony,Cody Fry
INFP,Moonlight,Chase Atlantic
INFP,The Red Means I Love You,Madds Buckley
INFP,Who Is She ?,I Monster
INFP,cinderella's dead,EMELINE
INFP,Judas,Lady Gaga
INFP,그대와 춤을,예빛
INFP,Mackerel,루시드폴
INFP,잊어야 할 일은 잊어요,브로콜리너마저
INFP,회상,적재
INFP,Washing Machine Heart,Mitski
INFP,snowglobe,RÓISIN
INFP,girls,girl in red
INFP,What Can I Believe?,"Pat Burgener, James Hersey, Oddbox"
INFP,エスケープ,Aoi Teshima
INFP,左右盲,ヨルシカ
INFP,チノカテ,ヨルシカ
INFP,風になる,Tsuji Ayano
INFP,20th century cloud,molnvän
INFP,darker paths,cookie
INFP,i save time by crying about 2 things at once,infp mfer
INFP,midnight,"overchill, Moai Beats"
INFP,Welcome to the Black Parade,My Chemical Romance
INFP,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole"
INFP,Arcade,Duncan Laurence
INFP,Love Like You (End Credits),"Steven Universe, Rebecca Sugar"
INFP,Chateau (Feel Alright),Djo
INFP,Freakin' Out On the Interstate,Briston Maroney
INFP,Sweet Marie,The Walters
INFP,Sister of Pearl,Baio
INFP,"Sea, Swallow Me","Cocteau Twins, Harold Budd"
INFP,好き好き大好き - 2016 Remaster,Jun Togawa
INFP,welcome and goodbye,"Dream, Ivory"
INFP,Space Song,Beach House
INFP,Migraine,Twenty One Pilots
INFP,Pity Party,Melanie Martinez
INFP,Cut My Lip,Twenty One Pilots
INFP,Mrs Magic,Strawberry Guy
INFP,愛じゃない,DAZBEE
INFP,勝たんしか症候群,たかやん
INFP,酩酊華,"あすくーる, natsumi, あらの"
INFP,アイカ,rerulili
INFP,True Colors,Cyndi Lauper
INFP,Enchanted (Taylor's Version),Taylor Swift
INFP,怪物,YOASOBI
INFP,3 Libras,A Perfect Circle
INFP,Lucky Star,NiziU (니쥬)
INFP,네게 말해 (이 여름밤),PARK JI WON (fromis_9)
INFP,Tweet Tweet,VIVIZ
INFP,Love on Lock,Kep1er
INFP,Don't Bother Calling,Moses Sumney
INFP,Heat Lightning,Mitski
INFP,Milk & Honey - Alt Version,Billie Marten
INFP,Party Song,Keaton Henson
INFP,Cry Baby,Melanie Martinez
INFP,Put Your Records On,Corinne Bailey Rae
INFP,Sweet,Cigarettes After Sex
INFP,Borderline,Tame Impala
INFP,널 사랑하면 안돼,딘딘
INFP,구애 Propose,선우정아
INFP,미니홈피,민수
INFP,니가 모르게 (YOU DON'T KNOW),로꼬
INFP,A Thousand Years,James Arthur
INFP,8 Letters - Acoustic,Why Don't We
INFP,아름답고도 아프구나,비투비
INFP,Hope Not,BLACKPINK
INFP,Slipping Through My Fingers,ABBA
INFP,Teacher's Pet,Melanie Martinez
INFP,Solas (Piano Version),goated.
INFP,Lullaby,GOT7
INFP,Dead Man,David Kushner
INFP,Maniac,Conan Gray
INFP,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo"
INFP,Sit Next to Me,Foster The People
INFP,Kerosene - Slowed,fam0uz
INFP,The Sound of Silence,Disturbed
INFP,Glow,Mr.Kitty
INFP,Disenchanted,My Chemical Romance
ESTP,Let's Get It Started,Black Eyed Peas
ESTP,Teenage Dirtbag,Wheatus
ESTP,Echoes,The Rapture
ESTP,MOVE TO MIAMI,"Enrique Iglesias, 핏불"
ESTP,Pretty Savage,BLACKPINK
ESTP,Material Girl,Madonna
ESTP,Under The Influence,Chris Brown
ESTP,PUNK TACTICS,Joey Valence & Brae
ESTP,Last Night,Ricky Montgomery
ESTP,Team,Mag.Lo
ESTP,Grilling Niggas,cupcakKe
ESTP,stupid horse,"100 gecs, Laura Les, Dylan Brady"
ESTP,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys
ESTP,Hey Baby (Drop It to the Floor) (feat. T-Pain),"핏불, T-Pain"
ESTP,Old Town Road,Lil Nas X
ESTP,MONTERO (Call Me By Your Name),Lil Nas X
ESTP,첫사랑,백아
ESTP,Gimme More,Britney Spears
ESTP,Don’t Blame Me,Taylor Swift
ESTP,I'll Do It,Heidi Montag
ESTP,Attack on Bangtan,방탄소년단
ESTP,Danger,방탄소년단
ESTP,I Am The Best,2NE1
ESTP,ZOOM,제시
ESTP,HEAVEN AND BACK,Chase Atlantic
ESTP,HYPNOTIC DATA,Odetari
ESTP,XOXO (Kisses Hugs),"6arelyhuman, horrormovies, Pixel Hood"
ESTP,FΛSHION,Britney Manson
ESTP,No Hay Nadie Más,Sebastian Yatra
ESTP,Yo Te Extraño,Sebastian Yatra
ESTP,Arroyito,Fonseca
ESTP,Mi Otra Mitad,Manuel Medrano
ESTP,Kosandra,Miyagi & Andy Panda
ESTP,Мосты,Rauf & Faik
ESTP,BEBE,Era Istrefi
ESTP,Там ревели горы,Miyagi & Andy Panda
ESTP,I Kissed A Girl - Rock Remix,Katy Perry
ESTP,Feather,Sabrina Carpenter
ESTP,It Was A Good Day,Ice Cube
ESTP,TiK ToK,Kesha
ESTP,welcome and goodbye,"Dream, Ivory"
ESTP,Pretty,"Coco & Clair Clair, Okthxbb"
ESTP,Alex G Nintendo 64(unreleased),Riri
ESTP,"New Person, Same Old Mistakes",Tame Impala
ESTP,Happiness,Che'Nelle
ESTP,君に贈る歌 ～Song For You,Che'Nelle
ESTP,赤い実ハジケタ恋空の下,LGMonkees
ESTP,YOKAZE,HENTAI SHINSHI CLUB
ESTP,Funky Glitter Christmas,NMIXX
ESTP,Bluma to Lunch,BLOOM VASE
ESTP,S-Class,Stray Kids
ESTP,In the morning,ITZY
ESTP,Get Lucki,Veeze
ESTP,Jennifer’s Body,Ken Carson
ESTP,Running Late,KARRAHBOOO
ESTP,Lil Tony x Lil RT - Im Da Man,Omerta
ESTP,Voltage,ITZY
ESTP,We Fresh,Kep1er
ESTP,Streets,Doja Cat
ESTP,Daisy,Ashnikko
ESTP,Body Electric,Lana Del Rey
ESTP,Escapism.,"RAYE, 070 Shake"
ESTP,Hands up!,"6arelyhuman, kets4eki, Pixel Hood"
ESTP,Starboy,"The Weeknd, Daft Punk"
ESTP,Heartbeat,Childish Gambino
ESTP,Monster,Lady Gaga
ESTP,Another One Bites The Dust,Queen
ESTP,Bad Romance,Artist Vs Poet
ESTP,Don't Threaten Me with a Good Time,Panic! At The Disco
ESTP,Is Everybody Going Crazy?,Nothing But Thieves
ESTP,Alter Ego,KALEO
ESTP,Girls In Bikinis,Poppy
ESTP,Hot N Cold,Katy Perry
ESTP,GUY.exe,Superfruit
ESTP,Feel This Moment (feat. Christina Aguilera),"핏불, Christina Aguilera"
ESTP,Witness,Katy Perry
ESTP,Bad,인피니트
ESTP,Call D,NCT U
ESTP,Drip,오마이걸
ESTP,Cold Blooded,제시
ESTP,Blah Blah Blah (feat. 3OH!3),"Kesha, 3OH!3"
ESTP,Wish You'd Make Me Cry,UPSAHL
ESTP,fuckboi,gianni & kyle
ESTP,Party Monster,The Weeknd
ESTP,Bad Girls,M.I.A.
ESTP,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
ESTP,Mask Off,Future
ESTP,"Beamer, Benz, Or Bentley","Lloyd Banks, Juelz Santana"
ESTP,先輩,乃紫
ESTP,FIESTA,IZ*ONE
ESTP,杯杯,乃紫
ESTP,ゴミ人間、俺,yangskinny
ESTP,Take A Slice,Glass Animals
ESTP,Without Me,Eminem
ESTP,Rät,Penelope Scott
ESTP,Bubblegum Bitch,MARINA
ESTP,MY BAG,(여자)아이들
ESTP,How You Like That,BLACKPINK
ESTP,Tell me (Sampling From `Two Of Hearts`),원더걸스
ESTP,That That (prod.&feat. SUGA of BTS),"싸이, SUGA"
ESFP,Eyes Blue Like The Atlantic (feat. Subvrbs),"Sista Prod, Subvrbs"
ESFP,Material Girl,Madonna
ESFP,Ultraviolence,Lana Del Rey
ESFP,Hey Rich Boy,Millionaires
ESFP,ZITTI E BUONI,Måneskin
ESFP,Boombox,Laura Marano
ESFP,Promiscuous,"Nelly Furtado, Timbaland"
ESFP,Gimme More,Britney Spears
ESFP,22,Taylor Swift
ESFP,Applause,Lady Gaga
ESFP,Off To The Races,Lana Del Rey
ESFP,Sweater Weather,The Neighbourhood
ESFP,ハルノヒ,Aimyon
ESFP,雨燦々,King Gnu
ESFP,AS IF IT’S YOUR LAST - Japanese Version,BLACKPINK
ESFP,沈丁花,DISH//
ESFP,紡ぐ,Tota
ESFP,明日はきっといい日になる,Yu Takahashi
ESFP,カナタハルカ,RADWIMPS
ESFP,きゅうくらりん,いよわ
ESFP,Backstabber,Kesha
ESFP,Dance Floor - Main mix,Melissa Molinaro
ESFP,Milkshake,Kelis
ESFP,Celebrity,Slayyyter
ESFP,Animal,Neon Trees
ESFP,Potential Breakup Song,Aly & AJ
ESFP,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat"
ESFP,"Sex, Drugs, Etc.",Beach Weather
ESFP,moonlight,Dhruv
ESFP,REEL IT IN,Aminé
ESFP,You Got It,Vedo
ESFP,MAZE,hanuel
ESFP,Strawberry Skies,Kid Travis
ESFP,Mona Lisa,Dominic Fike
ESFP,The Color Violet,Tory Lanez
ESFP,Still Got Time,dexter in the newsagent
ESFP,How Bout Now,Drake
ESFP,Mask Off,Future
ESFP,Night Away (Dance) (feat. Tion Wayne),"A1 x J1, Tion Wayne"
ESFP,Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin, Drake"
ESFP,Do Ya Like X Resonance,noturgf
ESFP,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,"Quavo, Takeoff"
ESFP,Father Stretch My Hands Pt. 1,Kanye West
ESFP,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),"Metro Boomin, A$AP Rocky, Takeoff"
ESFP,Koroba,Tiwa Savage
ESFP,Slow Dancing (FRNK Remix),"V, FRNK"
ESFP,Please Don't Change (feat. DJ Snake),"정국, DJ Snake"
ESFP,Smalltown Boy,Bronski Beat
ESFP,ALV,Montana Exclusivo
ESFP,HARLEY QUINN,"Fuerza Regida, Marshmello"
ESFP,PANTIES Y BRASIERES,"Rauw Alejandro, Daddy Yankee"
ESFP,Neverita,Bad Bunny
ESFP,Lemon Tree,Post Malone
ESFP,Unsainted,Slipknot
ESFP,Full Moon,Gold Revere
ESFP,Alejandro,Lady Gaga
ESFP,Hype Boy,NewJeans
ESFP,Butter,방탄소년단
ESFP,DNA,방탄소년단
ESFP,Feel Special,TWICE
ESFP,Six,SIX
ESFP,Alexander Hamilton,"Leslie Odom Jr., Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, , , ,"
ESFP,Farmer Refuted,"Thayne Jasperson, Lin-Manuel Miranda, Original Broadway Cast of Hamilton"
ESFP,What'd I Miss,"Daveed Diggs, Leslie Odom Jr., Okieriete Onaodowan, Original Broadway Cast of Hamilton"
ESFP,Fireworks (I'm The One),ATEEZ
ESFP,Till I Live,Dabin
ESFP,OTONABLUE,ATARASHII GAKKO!
ESFP,Mixed Nuts,OFFICIAL HIGE DANDISM
ESFP,O My Heart,Mother Mother
ESFP,Crucified,Ghost
ESFP,I Love You Like an Alcoholic,Six Steps In
ESFP,Dance Macabre,Ghost
ESFP,Levitating (feat. DaBaby),"Dua Lipa, DaBaby"
ESFP,7 rings,Ariana Grande
ESFP,Time of Our Lives,"핏불, Ne-Yo"
ESFP,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland"
ESFP,魔法が解けたら,Saucy Dog
ESFP,Vitamin,NCT 127
ESFP,Bite Me,ENHYPEN
ESFP,너의 로맨스에 내 이름을 써줘 (prod. IVY GROUND),104
ESFP,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign"
ESFP,MONTERO (Call Me By Your Name),Lil Nas X
ESFP,S&M,Rihanna
ESFP,Live While We're Young,One Direction
ESFP,メレンゲ,Macaroni Empitsu
ESFP,月曜日の歌,NEE
ESFP,愛の言葉,Kyanai
ESFP,優しさに溢れた世界で,Saucy Dog
ESFP,尾號6208,嚴浩翔
ESFP,烟火人间 - 电视剧《我的人间烟火》主题曲,那英
ESFP,別再想見我,許光漢
ESFP,I See You Everywhere,Eric Chou
ESFP,Up All Night,One Direction
ESFP,Twist Your Frown Upside Down,"Ross Lynch, Maia Mitchell, Garrett Clayton, Grace Phipps"
ESFP,Dynamite,Taio Cruz
ESFP,That's How We Do,"Ross Lynch, Maia Mitchell, Garrett Clayton, Grace Phipps, John DeLuca, Jordan Fisher"
ESFP,Cannibal,Kesha
ESFP,Payphone,"Maroon 5, Wiz Khalifa"
ESFP,Cure For Me,AURORA
ESFP,Shake It Off,Taylor Swift
